Recycle-UCT    90MiB       90MiB       20.3%   0.127069s
UCT Agent      53MiB       53MiB       20.3%   0.105185s
Recycle-UCT    1MiB        1MiB        20.3%   0.056121s
UCT Agent      1MiB        2MiB        20.3%   0.045699s
Recycle-UCT    0MiB        0MiB        20.3%   0.020971s
UCT Agent      3064MiB     3066MiB     21.1%   4.560303s
Recycle-UCT    2678MiB     2679MiB     21.4%   4.313974s
UCT Agent      2207MiB     2207MiB     21.1%   2.923206s
Recycle-UCT    524MiB      524MiB      20.5%   0.516327s
UCT Agent      185MiB      185MiB      20.5%   0.246765s
Recycle-UCT    2MiB        2MiB        20.5%   0.064148s
UCT Agent      13MiB       13MiB       20.6%   0.062116s
Recycle-UCT    0MiB        0MiB        20.6%   0.035453s
